data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8790044,804,UKR50752,50752,2022-01-13,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Luhansk,Sievierodonetskyi,Hirska,Prychepylivka,48.7574,38.6912,2,"JFO HQ press centre",Other,"On 13 January 2022, the NAF rebel forces fired 82mm mortars at the governmental positions near Prychepylivka, Luhansk. There were no injuries or fatalities.",0,1642524193,UKR
8790049,804,UKR50751,50751,2022-01-13,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Luhansk,Shchastynskyi,Stanychno-Luhanska,"Stanytsia Luhanska",48.6543,39.4794,2,"JFO HQ press centre",Other,"On 13 January 2022, the NAF rebel forces fired 120mm mortars at the governmental positions near Stanytsia Luhanska, Luhansk. There were no injuries or fatalities.",0,1642524193,UKR
8790069,804,UKR50641,50641,2022-01-13,2022,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Luhansk People's Militia",2,12,Europe,Ukraine,Luhansk,Luhanskyi,Luhanska,"Chervonyi Yar",48.6536,39.4046,2,"LPR People's Militia Press Service",Other,"On 13 January 2022, the Ukrainian Forces fired grenade launchers and small arms at the positions of the Luhansk People's Militia near Chervonyi Yar, Luhansk. There were no injuries or fatalities.",0,1642524193,UKR
8790073,804,UKR50707,50707,2022-01-13,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Luhansk People's Militia",2,12,Europe,Ukraine,Luhansk,Sievierodonetskyi,Hirska,Zholobok,48.7146,38.6996,2,"LPR People's Militia Press Service",Other,"On 13 January 2022, the Ukrainian Forces fired IFVs and 120mm mortars at the positions of the Luhansk People's Militia near Zholobok, Luhansk. There were no injuries or fatalities.",0,1642524193,UKR
8790095,804,UKR50725,50725,2022-01-13,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Kalmiuskyi,Novoazovska,Sakhanka,47.1272,37.8601,2,"OSCE SMM-Ukraine",Other,"On 13 January 2022, the OSCE SMM observed a total of 3 explosions involving unknown weapons near Sakhanka.",0,1642524193,UKR
8790101,804,UKR50730,50730,2022-01-13,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Kalmiuskyi,Boikivska,"Nova Marivka",47.4499,37.9418,2,"OSCE SMM-Ukraine",Other,"On 13 January 2022, the OSCE SMM observed a total of 9 explosions involving unknown weapons near Nova Marivka.",0,1642524193,UKR
8790105,804,UKR50768,50768,2022-01-13,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,,,0,20,Europe,Ukraine,Donetsk,Mariupolskyi,Sartanska,Novovyboeve,47.1951,37.8466,2,"OSCE SMM-Ukraine",Other,"On 13 January 2022, the OSCE SMM observed a total of 3 projectiles involving unknown weapons near Novovyboeve.",0,1642524193,UKR
8790115,804,UKR50770,50770,2022-01-13,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,,,0,20,Europe,Ukraine,Donetsk,Mariupolskyi,Sartanska,Chermalyk,47.3159,37.8086,2,"OSCE SMM-Ukraine",Other,"On 13 January 2022, the OSCE SMM observed a total of 5 explosions involving unknown weapons near Chermalyk.",0,1642524193,UKR
8790116,804,UKR50727,50727,2022-01-13,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Horlivskyi,Horlivska,"Selyshche Zhovtneve",48.2744,38.0976,2,"OSCE SMM-Ukraine",Other,"On 13 January 2022, the OSCE SMM observed a total of 5 explosions involving unknown weapons near Selyshche Zhovtneve.",0,1642524193,UKR
8790129,804,UKR50769,50769,2022-01-13,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,,,0,20,Europe,Ukraine,Donetsk,Mariupolskyi,Sartanska,Shyrokyne,47.0987,37.8199,2,"OSCE SMM-Ukraine",Other,"On 13 January 2022, the OSCE SMM observed a total of 3 projectiles involving unknown weapons near Shyrokyne.",0,1642524193,UKR
